Date,Dose 24h,Drain 24h,Drain%,EC Drain
2025-05-10,2.3891,0.8803,25.6806,3.0549
2025-05-11,2.8535,1.2872,27.6632,3.5851
2025-05-12,1.9606,0.7189,22.7882,3.6014
2025-05-13,1.585,0.4409,18.8785,3.2066
2025-05-14,1.5284,0.1572,6.5958,3.2822
2025-05-15,1.9468,0.2661,8.6007,3.5587
2025-05-16,2.2264,0.4797,13.7535,4.2108
2025-05-17,2.2681,0.5981,17.9132,4.608
2025-05-18,2.2615,0.5705,16.5764,4.9698
2025-05-19,2.7158,0.241,8.7118,4.9444
2025-05-20,1.4919,0.0557,2.9132,4.5003
2025-05-21,1.3658,0.1383,6.6354,4.8507
2025-05-22,1.5266,0.043,1.6944,5.1181
2025-05-23,1.9202,0.1781,5.809,5.2688
2025-05-24,2.8039,0.8305,17.059,5.6396
2025-05-25,2.1643,0.3021,8.5486,5.9215
2025-05-26,3.0516,1.1678,23.8194,6.1469
2025-05-27,2.57,1.0448,28.9583,6.1587
2025-05-28,1.5567,0.4048,17.4097,5.9396
2025-05-29,2.4613,0.5821,16.1007,5.6163
2025-05-30,1.7396,0.3109,10.6007,5.9385
2025-05-31,2.5053,0.5687,13.7708,6.0708
2025-06-01,2.95,0.3786,6.7847,6.5309
2025-06-02,4.113,1.5709,28.6771,6.9878
2025-06-03,4.1904,1.7076,28.9028,6.9861
2025-06-04,3.8079,1.4999,28.0208,6.674
2025-06-05,3.3612,1.4907,31.0278,6.3965
2025-06-06,2.7315,0.8514,20.6632,6.0403
2025-06-07,2.6875,0.7483,18.9444,6.033
2025-06-08,2.7298,0.7547,19.4444,5.9788
2025-06-09,2.0689,0.5443,17.809,5.9563
2025-06-10,3.0709,0.7547,15.1951,6.1436
2025-06-11,3.7037,1.1815,22.2049,6.4698
2025-06-12,3.5098,0.893,16.4201,6.5698
2025-06-13,3.9693,1.666,28.1701,6.7337
2025-06-14,2.798,0.9364,22.2396,6.4674
2025-06-15,2.7569,0.7954,19.9028,6.2806
2025-06-16,2.9624,0.9618,18.7604,6.0799
2025-06-17,2.7662,0.9667,23.8194,6.2788
2025-06-18,2.857,0.676,15.1181,6.0281
2025-06-19,3.2049,1.1105,22.4271,6.6826
2025-06-20,3.9949,1.4261,24.1319,6.7882
2025-06-21,3.919,1.2093,20.7708,6.8403
2025-06-22,4.6256,1.4486,21.6493,7.4955
2025-06-23,5.9896,2.9067,34.4375,7.3521
2025-06-24,5.9682,3.0053,36.3715,6.8899
2025-06-25,4.3281,2.2215,36.5382,6.8122
2025-06-26,3.7674,1.7436,30.9583,6.5465
2025-06-27,3.9855,1.7416,28.5174,6.4781
2025-06-28,4.4034,2.1917,35.0382,6.4073
2025-06-29,3.7106,1.5265,26.9583,6.3722
2025-06-30,3.3056,1.3959,28.2188,6.3618
2025-07-01,2.8583,0.9751,20.1875,6.2472
2025-07-02,3.7071,0.6916,9.8819,6.7958
2025-07-03,5.5382,2.748,38.125,6.7705
2025-07-04,5.3745,2.5733,33.9236,6.4778
2025-07-05,5.3432,2.6676,35.5868,6.4163
2025-07-06,5.6238,2.6653,33.6458,6.4861
2025-07-07,5.237,2.3404,31.8785,6.492
2025-07-08,4.3472,1.6439,26.3715,6.401
2025-07-09,4.3895,1.7929,29.1389,6.5431
2025-07-10,4.8125,2.2493,33.4479,6.4438
2025-07-11,4.893,2.0204,28.3368,6.4646
2025-07-12,5.4086,2.4256,31.8646,6.5615
2025-07-13,4.7783,1.9157,28.2118,6.6188
2025-07-14,4.6076,1.8997,29.8715,6.7632
2025-07-15,5.3964,2.29,30.0556,6.6698
2025-07-16,4.6823,2.1542,33.0556,6.5767
2025-07-17,4.2193,1.6072,26.5625,6.474
2025-07-18,3.6041,1.5236,29.625,6.5003
2025-07-19,4.3774,1.3665,18.2326,6.5576
2025-07-20,4.1118,1.7639,33.184,6.7861
2025-07-21,4.8732,1.7627,25.3403,6.6823
2025-07-22,5.518,1.9184,24.2118,6.7615
2025-07-23,5.7194,2.1976,27.6146,6.8167
2025-07-24,5.6736,2.449,33.2222,6.7458
2025-07-25,5.3837,2.5771,35.7465,7.0111
2025-07-26,4.2384,1.3892,22.5174,6.7247
2025-07-27,4.3698,2.2554,35.9965,6.6878
2025-07-28,3.7033,1.0925,22.9373,6.501
2025-07-29,4.8125,2.7053,41.4097,6.3792
2025-07-30,5.2003,1.9642,26.1007,6.3389
2025-07-31,4.059,2.0614,35.0972,6.7101
2025-08-01,4.7471,1.2609,14.4549,6.6618
2025-08-02,4.1683,1.464,26.5104,6.6972
2025-08-03,6.7003,2.4085,25.0174,6.8962
2025-08-04,4.6487,1.4481,22.625,6.7056
2025-08-05,5.2981,1.6838,23.059,6.8931
2025-08-06,5.1551,1.7665,23.4576,6.848
2025-08-07,3.8491,1.4938,23.8815,6.7087
2025-08-08,4.3476,1.8278,28.0174,6.4757
2025-08-09,5.1727,2.5683,35.3542,6.3181
2025-08-10,4.1192,1.5175,21.5,5.9309
2025-08-11,4.8847,2.4397,34.4479,6.1875
2025-08-12,5.2316,2.1049,26.2396,6.0083
2025-08-13,4.0732,1.5906,25.115,6.4958
2025-08-14,3.8065,1.2802,22.6111,6.0712
2025-08-15,5.1852,2.2176,26.6979,6.2378
2025-08-16,5.2164,2.4626,32.3993,6.7792
2025-08-17,4.8557,2.2336,29.4417,6.8512
2025-08-18,4.6893,2.0591,29,6.6611
2025-08-19,5.1504,2.2675,31.1879,6.6748
2025-08-20,3.3884,1.4126,27.2404,6.6439
2025-08-21,2.772,0.7934,18.559,6.6253
2025-08-22,3.7031,1.588,28.1632,6.4455
2025-08-23,3.8084,1.314,22.125,6.2559
2025-08-24,3.9428,1.1275,18.5382,6.4733
2025-08-25,3.9901,1.2199,20.2396,6.7354
2025-08-26,4.1009,1.101,17.7178,6.647
2025-08-27,4.0468,1.1939,20.1701,6.6545
2025-08-28,3.4415,1.1165,22.4549,6.6267
2025-08-29,3.405,0.6838,13.059,6.6087
2025-08-30,4.265,1.4092,22.7882,6.9056
2025-08-31,4.0653,1.0056,16.6458,6.8712
2025-09-01,4.5016,1.1293,19.2396,6.6931
2025-09-02,4.1551,0.7817,12.4236,6.3003
2025-09-03,4.7039,1.6515,24.3902,6.8174
2025-09-04,3.7829,1.4317,30.0799,6.6802
2025-09-05,4.7147,2.1711,29.8819,6.6205
2025-09-06,3.9358,1.5309,26.3125,6.9438
2025-09-07,4.095,1.0492,17.8368,7.0354
2025-09-08,4.4896,1.613,25.4097,6.9601
2025-09-09,5.2767,2.1454,29.0208,7.0993
2025-09-10,5.5741,2.6362,32.8229,7.0247
2025-09-11,5.0283,1.845,26.0729,7.1969
2025-09-12,5.8629,2.3586,30.2396,7.341
2025-09-13,5.7968,2.6262,34.2014,7.3031
2025-09-14,5.8756,2.1952,27.6979,7.4847
2025-09-15,6.1992,2.5253,31.0799,7.7087
2025-09-16,5.7807,2.8856,35.4583,7.2788
2025-09-17,4.5601,0.9987,12.6285,7.2188
2025-09-18,6.324,3.0674,38.0556,7.6094
2025-09-19,6.4461,2.6878,32.3472,7.6403
2025-09-20,6.8009,3.3297,36.7083,7.5587
2025-09-21,5.9976,3.2817,39.1076,7.0403
2025-09-22,3.9866,1.8108,32.8646,6.6104
2025-09-23,4.0538,1.8111,32.4514,6.658
2025-09-24,3.8998,1.961,36.7882,6.6608
2025-09-25,4.2001,0.8727,15.4375,5.9149
2025-09-26,3.2836,0.5529,13.7674,5.8674
2025-09-27,4.2638,1.3323,21.2431,6.6285
2025-09-28,5.2257,2.0798,30.8681,7.2462
2025-09-29,5.3565,2.3342,32.5729,7.1833
2025-09-30,5.1233,2.0935,29.7569,7.0837
2025-10-01,4.9989,2.3204,33.4028,6.9378
2025-10-02,4.7835,1.8333,28.4201,6.6747
2025-10-03,4.8981,2.1016,30.7902,6.6462
2025-10-04,5.1921,2.2047,30.8889,6.7674
2025-10-05,5.4752,2.6361,35.5938,6.8958
2025-10-06,4.4214,2.1726,34.5816,6.8301
2025-10-07,3.3048,2.1136,51.7708,6.2392
2025-10-08,3.3732,1.2599,21.2639,6.1951
2025-10-09,4.6059,2.1069,31.8611,6.4771
2025-10-10,4.7298,2.4494,38.6424,6.1979
2025-10-11,2.3482,0.9163,27.7222,5.3427
2025-10-12,5.4157,2.5717,171.5278,5.8163
2025-10-13,4.2988,2.0639,33.0972,6.4295
2025-10-14,4.14,1.9378,31.8507,6.451
2025-10-15,3.1267,1.0816,23.5312,6.3889
2025-10-16,2.5787,0.5017,14.2049,6.5997
2025-10-17,3.7778,1.4535,23.059,6.4826
2025-10-18,3.8878,1.4859,28.3715,6.6375
2025-10-19,2.6099,0.7881,22.6389,6.6212
2025-10-20,3.3108,1.1544,23.0278,6.7295
2025-10-21,3.4966,1.0708,21.3958,6.7823
2025-10-22,2.8674,0.5701,12.2639,7.0149
2025-10-23,2.9892,1.2599,33.2376,6.7383
2025-10-24,3.1612,1.3362,31.0174,6.3427
2025-10-25,2.6955,1.0972,30.5312,5.9802
2025-10-26,2.5827,0.6123,17.9167,5.7316
2025-10-27,2.5556,0.3204,9.7049,6.1576
2025-10-28,3.6261,1.2321,24.7431,6.4924
2025-10-29,2.949,0.974,23.8646,6.0997
2025-10-30,2.2598,0.9831,34.3507,5.6788
2025-10-31,3.0092,0.954,24.9688,5.4076
2025-11-01,2.8668,0.5089,12.1597,5.7642
2025-11-02,3.1736,0.7799,19.8507,6.5003
2025-11-03,3.4459,0.8931,17.4965,6.7576
2025-11-04,3.3957,1.0692,21.2257,6.634
2025-11-05,3.2662,0.6377,13.559,6.7007
2025-11-06,3.5167,0.9233,15.9547,6.7662
2025-11-07,2.4449,0.2167,6.5833,6.6944
2025-11-08,3.3294,1.0283,21.3507,6.8243
2025-11-09,2.4358,0.6617,20.2639,6.9049
2025-11-10,2.9114,0.3264,6.9028,7.3181
2025-11-11,2.8161,0.2119,4.0799,7.8042
2025-11-12,4.4512,1.4111,22.7222,6.8847
2025-11-13,4.3131,0.1164,1.9375,6.4962
2025-11-14,3.111,0.3918,9.0104,5.8771
